#
#
Distance,SURFACE LIBRE:10.0_0
(m),(-)
1.421268383864213369e+01,1.800720453262329102e+00
1.430031224275039570e+01,1.800713539123535156e+00
1.431302118932500456e+01,1.800712466239929199e+00
1.440031293878087837e+01,1.800706386566162109e+00
1.441335663270176859e+01,1.800705432891845703e+00
1.450031649656554222e+01,1.800700545310974121e+00
1.451369493703771951e+01,1.800699710845947266e+00
1.460031814624909430e+01,1.800694584846496582e+00
1.461403038041430413e+01,1.800693511962890625e+00
1.470032075038049335e+01,1.800685763359069824e+00
1.471436773109728158e+01,1.800684094429016113e+00
1.480032240006418043e+01,1.800671696662902832e+00
1.481470412812700843e+01,1.800669312477111816e+00
1.490032500340087651e+01,1.800652861595153809e+00
1.491504052515670153e+01,1.800649523735046387e+00
1.500032665387914932e+01,1.800631165504455566e+00
1.501537692298118287e+01,1.800627589225769043e+00
1.510033021086904625e+01,1.800610065460205078e+00
1.511571522731735939e+01,1.800607085227966309e+00
1.520033090769434914e+01,1.800592064857482910e+00
1.521605067069392803e+01,1.800589799880981445e+00
1.530033446468414837e+01,1.800577759742736816e+00
1.531638802137677935e+01,1.800575733184814453e+00
1.540033516071460973e+01,1.800564289093017578e+00
1.541672346475348832e+01,1.800561308860778809e+00
1.550033871849922207e+01,1.800546526908874512e+00
1.551706081543631122e+01,1.800542473793029785e+00
1.560034132183589684e+01,1.800521254539489746e+00
1.561739816611913945e+01,1.800516247749328613e+00
1.570034297231416964e+01,1.800489544868469238e+00
1.571773456314898887e+01,1.800484418869018555e+00
1.580034557565097053e+01,1.800457715988159180e+00
1.581807191383184197e+01,1.800452470779418945e+00
1.590034722612932860e+01,1.800430893898010254e+00
1.591840735800319173e+01,1.800426006317138672e+00
1.600034982946600337e+01,1.800409197807312012e+00
1.601872754213509964e+01,1.800404787063598633e+00
1.610027041545515303e+01,1.800387859344482422e+00
1.611899908757353828e+01,1.800384521484375000e+00
1.620027683419911213e+01,1.800363063812255859e+00
1.621933930001048196e+01,1.800359129905700684e+00
1.630026990020988364e+01,1.800335526466369629e+00
1.631966997432678212e+01,1.800329566001892090e+00
1.640027822626000287e+01,1.800305843353271484e+00
1.642001018676378266e+01,1.800297260284423828e+00
1.650027129306553775e+01,1.800274610519409180e+00
1.652035039840599140e+01,1.800266623497009277e+00
1.660031395221756156e+01,1.800237178802490234e+00
1.662070777659921106e+01,1.800232648849487305e+00
1.670028794516589699e+01,1.800203442573547363e+00
1.672102319246560498e+01,1.800200939178466797e+00
1.680028101117672179e+01,1.800174832344055176e+00
1.682135386757665785e+01,1.800170660018920898e+00
1.690028933722694759e+01,1.800163745880126953e+00
1.692169217191260699e+01,1.800154209136962891e+00
1.700028240403236524e+01,1.800146818161010742e+00
1.702202284702356394e+01,1.800137758255004883e+00
1.710029073008249512e+01,1.800129890441894531e+00
1.712236687327834872e+01,1.800124406814575195e+00
1.720029905613277421e+01,1.800064325332641602e+00
1.722270517840905768e+01,1.800072550773620605e+00
1.730029212214354928e+01,1.800040483474731445e+00
1.732303585272536495e+01,1.800039768218994141e+00
1.740030044819366850e+01,1.800041556358337402e+00
1.742337606516235482e+01,1.800012469291687012e+00
1.750029351499919272e+01,1.800016045570373535e+00
1.752370673947863722e+01,1.799997687339782715e+00
1.760030184104937234e+01,1.799960613250732422e+00
1.762404885922181208e+01,1.799967288970947266e+00
1.770031016709949157e+01,1.799934506416320801e+00
1.772438907086409543e+01,1.799963712692260742e+00
1.780030323311029861e+01,1.799939751625061035e+00
1.782473500521989607e+01,1.799930810928344727e+00
1.790036115150716611e+01,1.799960255622863770e+00
